project_id,title,domain,skills,interests,difficulty,duration,description
P052,Smart Attendance System,Education,"SQL, spaCy, Flask, PyTorch",Education,Beginner,5 Weeks,Smart Attendance System using Artificial Intelligence and Machine Learning techniques.
P053,AI Quiz Generator,Education,"spaCy, Pandas, OpenCV, NLTK",Education,Advanced,5 Weeks,AI Quiz Generator using Artificial Intelligence and Machine Learning techniques.
P054,Exam Performance Analyzer,Education,"OpenCV, TensorFlow, SQL, NumPy",Education,Beginner,5 Weeks,Exam Performance Analyzer using Artificial Intelligence and Machine Learning techniques.
P055,Course Recommendation System,Education,"NumPy, OpenCV, PyTorch, SQL",Education,Advanced,8 Weeks,Course Recommendation System using Artificial Intelligence and Machine Learning techniques.
P056,Student Feedback Analysis,Education,"SQL, OpenCV, Scikit-learn, Python",Education,Beginner,5 Weeks,Student Feedback Analysis using Artificial Intelligence and Machine Learning techniques.
P057,Placement Prediction,Education,"OpenCV, Pandas, SQL, Flask",Education,Intermediate,4 Weeks,Placement Prediction using Artificial Intelligence and Machine Learning techniques.
P058,Online Exam Proctoring,Education,"Scikit-learn, TensorFlow, Flask, PyTorch",Education,Advanced,5 Weeks,Online Exam Proctoring using Artificial Intelligence and Machine Learning techniques.
P059,AI Tutor,Education,"OpenCV, spaCy, NLTK, Pandas",Education,Intermediate,2 Weeks,AI Tutor using Artificial Intelligence and Machine Learning techniques.
P060,Learning Progress Tracker,Education,"Flask, spaCy, NLTK, OpenCV",Education,Beginner,6 Weeks,Learning Progress Tracker using Artificial Intelligence and Machine Learning techniques.
P061,Crop Recommendation,Agriculture,"NLTK, TensorFlow, SQL, Flask",Agriculture,Beginner,3 Weeks,Crop Recommendation using Artificial Intelligence and Machine Learning techniques.
P062,Soil Quality Prediction,Agriculture,"Pandas, NumPy, OpenCV, spaCy",Agriculture,Advanced,3 Weeks,Soil Quality Prediction using Artificial Intelligence and Machine Learning techniques.
P063,Smart Irrigation System,Agriculture,"Python, Pandas, Scikit-learn, NLTK",Agriculture,Beginner,5 Weeks,Smart Irrigation System using Artificial Intelligence and Machine Learning techniques.
P064,Plant Disease Detection,Agriculture,"SQL, NumPy, Pandas, NLTK",Agriculture,Intermediate,4 Weeks,Plant Disease Detection using Artificial Intelligence and Machine Learning techniques.
P065,Weather Forecasting,Agriculture,"NumPy, Scikit-learn, SQL, TensorFlow",Agriculture,Beginner,3 Weeks,Weather Forecasting using Artificial Intelligence and Machine Learning techniques.
P066,Crop Yield Prediction,Agriculture,"NumPy, TensorFlow, Flask, Python",Agriculture,Advanced,2 Weeks,Crop Yield Prediction using Artificial Intelligence and Machine Learning techniques.
P067,Fertilizer Recommendation,Agriculture,"Scikit-learn, OpenCV, spaCy, Pandas",Agriculture,Beginner,4 Weeks,Fertilizer Recommendation using Artificial Intelligence and Machine Learning techniques.
P068,Smart Farming Assistant,Agriculture,"NumPy, Flask, Pandas, spaCy",Agriculture,Intermediate,2 Weeks,Smart Farming Assistant using Artificial Intelligence and Machine Learning techniques.
P069,Livestock Health Prediction,Agriculture,"Python, NumPy, TensorFlow, Flask",Agriculture,Intermediate,8 Weeks,Livestock Health Prediction using Artificial Intelligence and Machine Learning techniques.
P070,Farm Monitoring System,Agriculture,"NLTK, Pandas, OpenCV, NumPy",Agriculture,Beginner,3 Weeks,Farm Monitoring System using Artificial Intelligence and Machine Learning techniques.
P071,Phishing Website Detection,Cybersecurity,"Python, SQL, TensorFlow, NLTK",Cybersecurity,Advanced,4 Weeks,Phishing Website Detection using Artificial Intelligence and Machine Learning techniques.
P072,Password Strength Analyzer,Cybersecurity,"PyTorch, Pandas, SQL, Scikit-learn",Cybersecurity,Beginner,5 Weeks,Password Strength Analyzer using Artificial Intelligence and Machine Learning techniques.
P073,Malware Detection,Cybersecurity,"SQL, NumPy, Pandas, Python",Cybersecurity,Advanced,3 Weeks,Malware Detection using Artificial Intelligence and Machine Learning techniques.
P074,Network Intrusion Detection,Cybersecurity,"OpenCV, NumPy, TensorFlow, PyTorch",Cybersecurity,Beginner,5 Weeks,Network Intrusion Detection using Artificial Intelligence and Machine Learning techniques.
P075,Cyber Threat Detection,Cybersecurity,"NumPy, Flask, spaCy, Pandas",Cybersecurity,Beginner,8 Weeks,Cyber Threat Detection using Artificial Intelligence and Machine Learning techniques.
P076,Email Spam Filter,Cybersecurity,"Pandas, OpenCV, TensorFlow, PyTorch",Cybersecurity,Intermediate,5 Weeks,Email Spam Filter using Artificial Intelligence and Machine Learning techniques.
P077,Secure Login System,Cybersecurity,"TensorFlow, NumPy, Pandas, SQL",Cybersecurity,Advanced,4 Weeks,Secure Login System using Artificial Intelligence and Machine Learning techniques.
P078,Face Authentication,Cybersecurity,"OpenCV, SQL, TensorFlow, PyTorch",Cybersecurity,Intermediate,6 Weeks,Face Authentication using Artificial Intelligence and Machine Learning techniques.
P079,File Encryption Tool,Cybersecurity,"Scikit-learn, NumPy, OpenCV, PyTorch",Cybersecurity,Intermediate,3 Weeks,File Encryption Tool using Artificial Intelligence and Machine Learning techniques.
P080,AI Security Assistant,Cybersecurity,"spaCy, NLTK, Scikit-learn, SQL",Cybersecurity,Advanced,2 Weeks,AI Security Assistant using Artificial Intelligence and Machine Learning techniques.
P081,AI Resume Builder,Generative AI,"OpenCV, Scikit-learn, NumPy, TensorFlow",Generative AI,Advanced,8 Weeks,AI Resume Builder using Artificial Intelligence and Machine Learning techniques.
P082,AI Story Generator,Generative AI,"Pandas, NumPy, spaCy, Scikit-learn",Generative AI,Advanced,4 Weeks,AI Story Generator using Artificial Intelligence and Machine Learning techniques.
P083,AI Interview Coach,Generative AI,"Python, SQL, OpenCV, PyTorch",Generative AI,Advanced,4 Weeks,AI Interview Coach using Artificial Intelligence and Machine Learning techniques.
P084,AI Code Assistant,Generative AI,"PyTorch, SQL, TensorFlow, Scikit-learn",Generative AI,Advanced,6 Weeks,AI Code Assistant using Artificial Intelligence and Machine Learning techniques.
P085,AI Research Assistant,Generative AI,"TensorFlow, spaCy, SQL, OpenCV",Generative AI,Intermediate,4 Weeks,AI Research Assistant using Artificial Intelligence and Machine Learning techniques.
P086,AI Meeting Summarizer,Generative AI,"NLTK, OpenCV, Python, spaCy",Generative AI,Beginner,4 Weeks,AI Meeting Summarizer using Artificial Intelligence and Machine Learning techniques.
P087,AI Career Advisor,Generative AI,"NLTK, SQL, Scikit-learn, TensorFlow",Generative AI,Advanced,2 Weeks,AI Career Advisor using Artificial Intelligence and Machine Learning techniques.
P088,AI Content Generator,Generative AI,"Python, spaCy, PyTorch, TensorFlow",Generative AI,Advanced,8 Weeks,AI Content Generator using Artificial Intelligence and Machine Learning techniques.
P089,AI Notes Generator,Generative AI,"Python, SQL, NLTK, Scikit-learn",Generative AI,Beginner,5 Weeks,AI Notes Generator using Artificial Intelligence and Machine Learning techniques.
P090,AI Image Caption Generator,Generative AI,"TensorFlow, Scikit-learn, OpenCV, NLTK",Generative AI,Beginner,5 Weeks,AI Image Caption Generator using Artificial Intelligence and Machine Learning techniques.
P091,Smart Home Automation,IoT,"NLTK, spaCy, NumPy, Pandas",IoT,Intermediate,6 Weeks,Smart Home Automation using Artificial Intelligence and Machine Learning techniques.
P092,Smart Parking System,IoT,"Flask, spaCy, PyTorch, SQL",IoT,Advanced,2 Weeks,Smart Parking System using Artificial Intelligence and Machine Learning techniques.
P093,Smart Street Lights,IoT,"PyTorch, Python, OpenCV, NumPy",IoT,Beginner,3 Weeks,Smart Street Lights using Artificial Intelligence and Machine Learning techniques.
P094,Air Quality Monitoring,IoT,"TensorFlow, Pandas, spaCy, SQL",IoT,Advanced,3 Weeks,Air Quality Monitoring using Artificial Intelligence and Machine Learning techniques.
P095,Water Quality Monitoring,IoT,"SQL, NumPy, Scikit-learn, Flask",IoT,Advanced,8 Weeks,Water Quality Monitoring using Artificial Intelligence and Machine Learning techniques.
P096,Smart Dustbin,IoT,"spaCy, NLTK, Pandas, Scikit-learn",IoT,Intermediate,6 Weeks,Smart Dustbin using Artificial Intelligence and Machine Learning techniques.
P097,Smart Energy Meter,IoT,"Python, OpenCV, SQL, Flask",IoT,Intermediate,5 Weeks,Smart Energy Meter using Artificial Intelligence and Machine Learning techniques.
P098,Weather Monitoring System,IoT,"NLTK, OpenCV, Flask, PyTorch",IoT,Advanced,8 Weeks,Weather Monitoring System using Artificial Intelligence and Machine Learning techniques.
P099,Smart Traffic Management,IoT,"SQL, spaCy, Flask, PyTorch",IoT,Intermediate,3 Weeks,Smart Traffic Management using Artificial Intelligence and Machine Learning techniques.
P100,IoT Health Monitoring,IoT,"PyTorch, NumPy, TensorFlow, Scikit-learn",IoT,Beginner,8 Weeks,IoT Health Monitoring using Artificial Intelligence and Machine Learning techniques.
